City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Bonthe,SL,79.7,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
5,Atuona,PF,79.21,light rain,-9.8,-139.0333,Villa Enata
6,Ciudad Ojeda,VE,84.06,overcast clouds,10.1964,-71.3082,Amira minimarket
9,Pontes E Lacerda,BR,74.77,broken clouds,-15.2261,-59.3353,Hotel Bressan
10,Pisco,PE,66.25,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
11,Sahaspur,IN,78.93,scattered clouds,29.1333,78.6167,Mujeeb Ahmd
20,Ormara,PK,82.98,broken clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
24,Mahebourg,MU,69.26,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
30,Muisne,EC,77.56,light rain,0.6,-80.0333,Quinta Samay
32,Yellowknife,CA,71.56,scattered clouds,62.456,-114.3525,The Explorer Hotel
34,Olinda,BR,73.13,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
35,Bathsheba,BB,80.4,scattered clouds,13.2167,-59.5167,Atlantis Hotel
40,Bethel,US,76.06,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
41,Puerto Ayora,EC,75.54,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
42,Ribeira Grande,PT,69.39,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
44,Rosetta,EG,70.99,clear sky,31.4044,30.4164,Green Valley
45,Fomboni,KM,78.04,scattered clouds,-12.28,43.7425,Pension Paradis
46,Atripalda,IT,67.44,scattered clouds,40.9158,14.8246,Hotel de la Ville
48,Butaritari,KI,83.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
49,Guerrero Negro,MX,75.74,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
53,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
56,Lagoa,PT,68.54,overcast clouds,39.05,-27.9833,Casa Das Faias
58,Sciacca,IT,71.1,clear sky,37.5082,13.0881,Hotel Aliai
59,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
60,Georgetown,MY,77.9,few clouds,5.4112,100.3354,Cititel Penang
62,Kikwit,CD,70.61,scattered clouds,-5.041,18.8162,HOTEL PLACE YALABA
65,Fayaoue,NC,75.92,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
72,Faanui,PF,80.46,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
75,Rantepao,ID,67.06,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
76,Whitehorse,CA,65.01,broken clouds,60.7161,-135.0538,The Sternwheeler Hotel & Conference Centre
77,Jamestown,US,69.39,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
78,Norman Wells,CA,70.38,clear sky,65.282,-126.8329,Heritage Hotel
79,Phonhong,LA,74.88,overcast clouds,18.5007,102.4166,Manyvong Guest House
80,Kenai,US,67.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
86,Rikitea,PF,74.95,light rain,-23.1203,-134.9692,People ThankYou
88,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
89,Aklavik,CA,76.62,broken clouds,68.2191,-135.0107,Aklavik Inn
91,Hambantota,LK,78.8,scattered clouds,6.1241,81.1185,Bungalow 63
96,Harper,LR,77.4,overcast clouds,4.375,-7.7169,Screensaver
97,Lucea,JM,82.85,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
101,Cururupu,BR,74.41,clear sky,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
102,Arraial Do Cabo,BR,69.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
103,Botou,CN,72.73,overcast clouds,38.0667,116.5667,Hanting Hotel Huanghua City Hall
104,Dennery,LC,82.49,scattered clouds,13.8996,-60.8879,The Fox Grove Inn
107,Khatanga,RU,66.94,clear sky,71.9667,102.5,"Gostinitsa ""Zapolyar'ye"""
108,Ishigaki,JP,83.97,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
111,Sao Joao Batista,BR,66.83,broken clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
114,Jiangyou,CN,76.6,moderate rain,31.7667,104.7167,Shangping Shuyuan Inn
115,Ewa Beach,US,84.15,scattered clouds,21.3156,-158.0072,Uncle Junior Robert
118,Brigantine,US,80.02,clear sky,39.4101,-74.3646,Legacy Vacation Resort Brigantine Beach
119,Sabzevar,IR,76.26,clear sky,36.2126,57.6819,پزشکی قانونی سبزوار
120,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
121,Maragogi,BR,73.96,light rain,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
122,Hadishahr,AZ,77.49,clear sky,38.8431,45.6635,هتل آپارتمان آرامیس
125,Sioux Lookout,CA,75.88,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
128,Padang,ID,73.45,light rain,-0.9492,100.3543,Mercure Padang
129,Thompson,CA,80.98,overcast clouds,55.7435,-97.8558,Burntwood Hotel
130,Beyneu,KZ,79.18,few clouds,45.3167,55.2,NUR
131,Praia Da Vitoria,PT,69.76,overcast clouds,38.7333,-27.0667,Hotel Branco I
132,Maneadero,MX,84.18,overcast clouds,31.7167,-116.5667,Casa De Thompson
134,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,Tanna Lodge
135,East London,ZA,66.11,broken clouds,-33.0153,27.9116,Tu Casa
138,Los Llanos De Aridane,ES,65.95,clear sky,28.6585,-17.9182,Valle Aridane
139,Aquiraz,BR,81.18,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
140,Bengkulu,ID,75.58,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
141,Sola,VU,80.83,scattered clouds,-13.8833,167.55,Leumerus Bungalows
144,Pocri,PA,78.62,overcast clouds,8.2667,-80.55,Residencial D Cache
145,Vao,NC,72.72,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
146,Salalah,OM,84.29,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
147,Male,MV,83.26,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
149,Quatre Cocos,MU,69.1,clear sky,-20.2078,57.7625,Emeraude Beach Attitude Hotel
150,Fujin,CN,66.72,overcast clouds,47.26,132.0322,Xilong Hotel Fujin Shop
151,Port-Gentil,GA,78.24,scattered clouds,-0.7193,8.7815,Fengshui Residence
152,Hami,CN,67.69,clear sky,42.8,93.45,Laoyutang Resort
154,Saint Anthony,US,82.85,few clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
156,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
