City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Victoria,HK,22.2855,114.1577,87.96,83,100,1.99,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,58.12,87,82,7.05,broken clouds
2,Vanavara,RU,60.34,102.2797,54.36,64,91,1.07,overcast clouds
3,Bonthe,SL,7.5264,-12.505,79.7,80,99,7.07,overcast clouds
4,Chokurdakh,RU,70.6333,147.9167,36.81,59,100,17.05,overcast clouds
5,Atuona,PF,-9.8,-139.0333,79.21,77,42,21.77,light rain
6,Ciudad Ojeda,VE,10.1964,-71.3082,84.06,68,100,8.86,overcast clouds
7,New Norfolk,AU,-42.7826,147.0587,47.75,88,96,1.16,light rain
8,Barrow,US,71.2906,-156.7887,39.22,81,90,19.57,overcast clouds
9,Pontes E Lacerda,BR,-15.2261,-59.3353,74.77,68,80,3.27,broken clouds
10,Pisco,PE,-13.7,-76.2167,66.25,68,0,10.36,clear sky
11,Sahaspur,IN,29.1333,78.6167,78.93,74,50,7.18,scattered clouds
12,Port Elizabeth,ZA,-33.918,25.5701,63.1,70,100,8.16,overcast clouds
13,Albany,US,42.6001,-73.9662,69.75,73,32,1.01,scattered clouds
14,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,11.5,clear sky
15,Omaruru,NA,-21.4333,15.9333,54.43,28,96,2.48,overcast clouds
16,Clyde River,CA,70.4692,-68.5914,36.72,92,98,4.34,overcast clouds
17,Ballina,AU,-28.8667,153.5667,57.94,95,5,5.01,clear sky
18,Atasu,KZ,48.6814,71.6433,61.5,46,0,7.49,clear sky
19,Hobart,AU,-42.8794,147.3294,48.11,95,75,8.05,broken clouds
20,Ormara,PK,25.2088,64.6357,82.98,89,54,13.49,broken clouds
21,Mataura,NZ,-46.1927,168.8643,48.47,96,100,1.21,overcast clouds
22,Rio Grande,BR,-32.035,-52.0986,47.95,63,32,14.85,scattered clouds
23,Otjimbingwe,NA,-22.35,16.1333,57.29,35,69,2.06,broken clouds
24,Mahebourg,MU,-20.4081,57.7,69.26,83,9,8.37,light rain
25,Meadow Lake,US,34.8014,-106.5436,100.47,21,54,4.36,broken clouds
26,Krasnyy Chikoy,RU,50.3643,108.7512,44.11,88,68,4.09,broken clouds
27,Pevek,RU,69.7008,170.3133,35.55,87,67,6.73,broken clouds
28,Ushuaia,AR,-54.8,-68.3,37.06,75,40,3.44,scattered clouds
29,Bria,CF,6.5423,21.9863,68.29,97,89,1.5,overcast clouds
30,Muisne,EC,0.6,-80.0333,77.56,84,79,3.8,light rain
31,Upernavik,GL,72.7868,-56.1549,34.88,86,11,4.38,few clouds
32,Yellowknife,CA,62.456,-114.3525,71.56,43,27,15.99,scattered clouds
33,Tasiilaq,GL,65.6145,-37.6368,37.56,71,43,2.82,scattered clouds
34,Olinda,BR,-8.0089,-34.8553,73.13,83,75,10.36,broken clouds
35,Bathsheba,BB,13.2167,-59.5167,80.4,82,33,18.05,scattered clouds
36,Luderitz,NA,-26.6481,15.1594,59.45,70,0,5.12,clear sky
37,Castro,BR,-24.7911,-50.0119,51.71,75,4,1.39,clear sky
38,Tuktoyaktuk,CA,69.4541,-133.0374,57.38,51,45,15.08,scattered clouds
39,Neuquen,AR,-38.9516,-68.0591,42.69,56,0,4.61,clear sky
40,Bethel,US,41.3712,-73.414,76.06,63,1,11.5,clear sky
41,Puerto Ayora,EC,-0.7393,-90.3518,75.54,84,3,5.01,clear sky
42,Ribeira Grande,PT,38.5167,-28.7,69.39,89,100,7.18,overcast clouds
43,Lompoc,US,34.6391,-120.4579,97.21,61,1,17.27,haze
44,Rosetta,EG,31.4044,30.4164,70.99,72,0,11.79,clear sky
45,Fomboni,KM,-12.28,43.7425,78.04,68,46,10.45,scattered clouds
46,Atripalda,IT,40.9158,14.8246,67.44,72,43,2.66,scattered clouds
47,Kodiak,US,57.79,-152.4072,54.91,67,1,11.5,clear sky
48,Butaritari,KI,3.0707,172.7902,83.17,77,100,15.99,overcast clouds
49,Guerrero Negro,MX,27.9769,-114.0611,75.74,56,6,15.21,clear sky
50,Bilibino,RU,68.0546,166.4372,57.49,63,95,8.77,overcast clouds
51,Busselton,AU,-33.65,115.3333,49.05,76,84,6.51,broken clouds
52,Iqaluit,CA,63.7506,-68.5145,41.7,71,52,15.99,broken clouds
53,Saint-Philippe,RE,-21.3585,55.7679,67.59,84,27,8.41,light rain
54,Abu Samrah,SY,35.3029,37.1841,65.73,76,0,8.41,clear sky
55,Mitu,CO,1.1983,-70.1733,73.08,97,79,1.92,broken clouds
56,Lagoa,PT,39.05,-27.9833,68.54,91,100,11.79,overcast clouds
