City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sanmenxia,CN,2021-06-13 21:33:14,34.7747,111.1814,76.41,92,100,5.03
1,Thompson,CA,2021-06-13 21:30:15,55.7435,-97.8558,53.76,76,75,10.36
2,Byron Bay,AU,2021-06-13 21:33:15,-28.65,153.6167,51.06,71,11,5.55
3,Alofi,NU,2021-06-13 21:29:57,-19.0595,-169.9187,80.49,74,53,13.8
4,Airai,TL,2021-06-13 21:33:15,-8.9266,125.4092,57.02,87,57,2.01
5,Ushuaia,AR,2021-06-13 21:33:16,-54.8,-68.3,37.06,81,75,28.77
6,Jamestown,US,2021-06-13 21:33:17,42.097,-79.2353,81.72,57,1,10.36
7,La Ronge,CA,2021-06-13 21:33:17,55.1001,-105.2842,77.25,22,20,8.05
8,Watsa,CD,2021-06-13 21:33:17,3.0372,29.5355,61.92,97,100,3.83
9,Babol,IR,2021-06-13 21:28:27,36.5513,52.679,72.25,77,0,5.93
10,Bilma,NE,2021-06-13 21:33:18,18.6853,12.9164,92.12,12,98,16.4
11,Severo-Kurilsk,RU,2021-06-13 21:33:18,50.6789,156.125,43.59,95,100,15.26
12,Hilo,US,2021-06-13 21:30:28,19.7297,-155.09,80.33,72,90,11.5
13,Kavaratti,IN,2021-06-13 21:23:33,10.5669,72.642,83.34,77,100,23.91
14,Lagoa,PT,2021-06-13 21:30:34,39.05,-27.9833,68.52,78,19,5.12
15,Derzhavinsk,KZ,2021-06-13 21:33:20,51.1,66.3167,62.67,56,15,6.2
16,New Norfolk,AU,2021-06-13 21:33:20,-42.7826,147.0587,53.65,87,99,1.21
17,Klaksvik,FO,2021-06-13 21:24:57,62.2266,-6.589,49.12,89,98,22.53
18,Zaysan,KZ,2021-06-13 21:31:20,47.4667,84.8667,47.44,75,12,9.26
19,Butaritari,KI,2021-06-13 21:33:21,3.0707,172.7902,81.93,77,96,7.67
20,Husavik,IS,2021-06-13 21:31:39,66.0449,-17.3389,37.31,92,100,20.76
21,Vaini,TO,2021-06-13 21:33:22,-21.2,-175.2,77.16,73,20,8.05
22,Rikitea,PF,2021-06-13 21:29:44,-23.1203,-134.9692,74.82,77,54,12.95
23,Chokurdakh,RU,2021-06-13 21:33:22,70.6333,147.9167,57.74,56,97,7.61
24,Riachao,BR,2021-06-13 21:33:23,-7.3619,-46.6172,81.45,46,83,2.53
25,Luderitz,NA,2021-06-13 21:23:29,-26.6481,15.1594,63.93,63,0,3.83
26,Roald,NO,2021-06-13 21:29:49,62.5833,6.1333,55.54,71,75,11.5
27,La Tuque,CA,2021-06-13 21:28:44,47.4334,-72.7824,80.85,21,100,4.61
28,Avarua,CK,2021-06-13 21:29:58,-21.2078,-159.775,77.05,65,75,12.66
29,Westport,US,2021-06-13 21:24:50,41.1415,-73.3579,75.97,73,90,4.0
30,Santander,ES,2021-06-13 21:33:24,43.4647,-3.8044,69.98,95,90,5.99
31,Fortuna,US,2021-06-13 21:23:36,40.5982,-124.1573,70.93,62,1,3.0
32,Nador,MA,2021-06-13 21:33:25,35.174,-2.9287,70.05,83,0,4.61
33,Balao,EC,2021-06-13 21:33:26,-2.9167,-79.8167,84.11,76,92,4.05
34,Bluff,NZ,2021-06-13 21:33:26,-46.6,168.3333,51.48,96,100,14.36
35,Flinders,AU,2021-06-13 21:23:36,-34.5833,150.8552,54.18,78,100,1.01
36,Georgetown,MY,2021-06-13 21:33:26,5.4112,100.3354,80.89,87,20,1.99
37,Mataura,NZ,2021-06-13 21:33:27,-46.1927,168.8643,51.35,98,100,2.95
